年,週次,臺中市氣溫_週平均
2021,50,18.53870968
2021,51,18.33548387
2021,52,18.13225806
2022,1,17.92626728
2022,2,17.68709677
2022,3,17.43870968
2022,4,17.19032258
2022,5,16.94193548
2022,6,17.30357143
2022,7,18.47857143
2022,8,19.65357143
2022,9,20.82857143
2022,10,21.69354839
2022,11,22.14516129
2022,12,22.59677419
2022,13,23.0483871
2022,14,23.47612903
2022,15,23.75666667
2022,16,24.01333333
2022,17,24.27
2022,18,24.53709677
2022,19,25.1483871
2022,20,25.91612903
2022,21,26.68387097
2022,22,27.4516129
2022,23,28.0843318
2022,24,28.42
2022,25,28.74666667
2022,26,29.07333333
2022,27,29.34617512
2022,28,29.28709677
2022,29,29.17419355
2022,30,29.06129032
2022,31,28.9483871
2022,32,28.77096774
2022,33,28.54516129
2022,34,28.31935484
2022,35,28.09354839
2022,36,27.80906298
2022,37,27.31333333
2022,38,26.8
2022,39,26.28666667
2022,40,25.78955453
2022,41,25.48709677
2022,42,25.23870968
2022,43,24.99032258
2022,44,24.74193548
2022,45,23.92
2022,46,22.33333333
2022,47,20.74666667
2022,48,19.16
2022,49,17.88331797
2022,50,17.72258065
2022,51,17.65483871
2022,52,17.58709677
2023,1,17.52442396
2023,2,17.62903226
2023,3,17.80967742
2023,4,17.99032258
2023,5,18.17096774
2023,6,18.48763989
2023,7,19.10357143
2023,8,19.72857143
2023,9,20.35357143
2023,10,21.00153061
2023,11,21.7
2023,12,22.4
2023,13,23.1
2023,14,23.79285714
2023,15,24.4
2023,16,24.98333333
2023,17,25.56666667
2023,18,26.15
2023,19,26.69677419
2023,20,27.21612903
2023,21,27.73548387
2023,22,28.25483871
2023,23,28.69677419
2023,24,28.86
2023,25,29.0
2023,26,29.14
2023,27,29.26451613
2023,28,29.20322581
2023,29,29.09032258
2023,30,28.97741935
2023,31,28.86451613
2023,32,28.74193548
2023,33,28.60645161
2023,34,28.47096774
2023,35,28.33548387
2023,36,28.16516129
2023,37,27.78
2023,38,27.36
2023,39,26.94
2023,40,26.51336406
2023,41,25.86774194
2023,42,25.12258065
2023,43,24.37741935
2023,44,23.63225806
2023,45,22.88663594
2023,46,22.14
2023,47,21.39333333
2023,48,20.64666667
2023,49,19.92506912
2023,50,19.35806452
2023,51,18.81612903
2023,52,18.27419355
2024,1,17.73225806
2024,2,17.73225806
2024,3,18.13870968
2024,4,18.54516129
2024,5,18.9516129
2024,6,19.36378516
2024,7,19.79655172
2024,8,20.23103448
2024,9,20.66551724
2024,10,21.18504688
2024,11,22.22903226
2024,12,23.35806452
2024,13,24.48709677
2024,14,25.61612903
2024,15,26.15333333
2024,16,26.24666667
2024,17,26.34
2024,18,26.43333333
2024,19,26.65708141
2024,20,27.16774194
2024,21,27.68709677
2024,22,28.20645161
2024,23,28.70686636
2024,24,28.98
2024,25,29.19
2024,26,29.4
2024,27,29.61
2024,28,29.62258065
2024,29,29.48709677
2024,30,29.3516129
2024,31,29.21612903
2024,32,29.07603687
2024,33,28.91935484
2024,34,28.76129032
2024,35,28.60322581
2024,36,28.44219662
2024,37,28.18333333
2024,38,27.88
2024,39,27.57666667
2024,40,27.27333333
2024,41,26.74193548
2024,42,25.90645161
2024,43,25.07096774
2024,44,24.23548387
2024,45,23.35658986
2024,46,22.21
2024,47,21.02
2024,48,19.83
2024,49,18.65506912
2024,50,17.97741935
2024,51,17.52580645
2024,52,17.07419355
2025,1,16.62258065
2025,2,16.36451613
2025,3,16.53225806
2025,4,16.71290323
2025,5,16.89354839
2025,6,17.10292956
2025,7,17.65714286
2025,8,18.30714286
2025,9,18.95714286
2025,10,19.62402897
2025,11,20.49354839
2025,12,21.41935484
2025,13,22.34516129
2025,14,23.27096774
2025,15,24.11
2025,16,24.83333333
2025,17,25.55666667
2025,18,26.28
2025,19,26.94788018
2025,20,27.41612903
2025,21,27.86774194
2025,22,28.31935484
2025,23,28.75889401
2025,24,28.8
2025,25,28.66
2025,26,28.52
2025,27,28.38
2025,28,28.33870968
2025,29,28.42903226
2025,30,28.51935484
2025,31,28.60967742
2025,32,28.68894009
2025,33,28.7
2025,34,28.7
2025,35,28.7
2025,36,28.7
2025,37,28.56666667
2025,38,28.33333333
2025,39,28.1
2025,40,27.86666667
2025,41,27.49738863
2025,42,25.12258065
2025,43,24.37741935
2025,44,23.63225806
2025,45,22.88663594
2025,46,22.14
2025,47,21.39333333
2025,48,20.64666667
2025,49,19.92506912
2025,50,19.35806452
2025,51,18.81612903
2025,52,18.645238095238092
2025,53,18.27419355
2026,1,17.45059523809524
2026,2,15.435119047619049
2026,3,19.258333333333333
