年,週次,臺中市相對溼度_週平均
2021,46,71.63333333
2021,47,71.4
2021,48,71.16666667
2021,49,71.48863287
2021,50,73.03225806
2021,51,74.61290323
2021,52,76.19354839
2022,1,77.71889401
2022,2,78.58064516
2022,3,79.25806452
2022,4,79.93548387
2022,5,80.61290323
2022,6,80.46428571
2022,7,79.21428571
2022,8,77.96428571
2022,9,76.71428571
2022,10,75.70967742
2022,11,75.03225806
2022,12,74.35483871
2022,13,73.67741935
2022,14,73.36866359
2022,15,75.33333333
2022,16,77.66666667
2022,17,80.0
2022,18,82.25806452
2022,19,82.03225806
2022,20,80.67741935
2022,21,79.32258065
2022,22,77.96774194
2022,23,76.88479263
2022,24,76.4
2022,25,75.93333333
2022,26,75.46666667
2022,27,75.08479263
2022,28,75.22580645
2022,29,75.4516129
2022,30,75.67741935
2022,31,75.90322581
2022,32,75.48387097
2022,33,74.58064516
2022,34,73.67741935
2022,35,72.77419355
2022,36,72.00768049
2022,37,71.73333333
2022,38,71.5
2022,39,71.26666667
2022,40,71.14439324
2022,41,72.35483871
2022,42,73.93548387
2022,43,75.51612903
2022,44,77.09677419
2022,45,77.1
2022,46,75.0
2022,47,72.9
2022,48,70.8
2022,49,69.31290323
2022,50,70.03225806
2022,51,70.93548387
2022,52,71.83870968
2023,1,72.71889401
2023,2,72.83870968
2023,3,72.61290323
2023,4,72.38709677
2023,5,72.16129032
2023,6,71.69848585
2023,7,70.71428571
2023,8,69.71428571
2023,9,68.71428571
2023,10,68.36603028
2023,11,69.4516129
2023,12,70.58064516
2023,13,71.70967742
2023,14,72.78387097
2023,15,73.2
2023,16,73.43333333
2023,17,73.66666667
2023,18,73.9
2023,19,74.38709677
2023,20,75.06451613
2023,21,75.74193548
2023,22,76.41935484
2023,23,76.8156682
2023,24,76.2
2023,25,75.5
2023,26,74.8
2023,27,74.21198157
2023,28,74.96774194
2023,29,76.09677419
2023,30,77.22580645
2023,31,78.35483871
2023,32,79.0
2023,33,79.0
2023,34,79.0
2023,35,79.0
2023,36,78.85714286
2023,37,77.83333333
2023,38,76.66666667
2023,39,75.5
2023,40,74.32949309
2023,41,73.03225806
2023,42,71.67741935
2023,43,70.32258065
2023,44,68.96774194
2023,45,68.38479263
2023,46,69.5
2023,47,70.66666667
2023,48,71.83333333
2023,49,72.82949309
2023,50,72.77419355
2023,51,72.5483871
2023,52,72.32258065
2024,1,72.09677419
2024,2,71.87096774
2024,3,71.64516129
2024,4,71.41935484
2024,5,71.19354839
2024,6,70.91530272
2024,7,70.44827586
2024,8,69.96551724
2024,9,69.48275862
2024,10,69.22501192
2024,11,70.35483871
2024,12,71.70967742
2024,13,73.06451613
2024,14,74.41935484
2024,15,74.73333333
2024,16,74.26666667
2024,17,73.8
2024,18,73.33333333
2024,19,73.14777266
2024,20,73.58064516
2024,21,74.03225806
2024,22,74.48387097
2024,23,74.87926267
2024,24,74.6
2024,25,74.13333333
2024,26,73.66666667
2024,27,73.2
2024,28,73.25806452
2024,29,73.70967742
2024,30,74.16129032
2024,31,74.61290323
2024,32,75.15668203
2024,33,76.03225806
2024,34,76.93548387
2024,35,77.83870968
2024,36,78.70921659
2024,37,78.5
2024,38,77.8
2024,39,77.1
2024,40,76.4
2024,41,75.80645161
2024,42,75.35483871
2024,43,74.90322581
2024,44,74.4516129
2024,45,73.99815668
2024,46,73.53333333
2024,47,73.06666667
2024,48,72.6
2024,49,72.12903226
2024,50,71.51612903
2024,51,70.83870968
2024,52,70.16129032
2025,1,69.48387097
2025,2,69.42857143
2025,3,70.74193548
2025,4,72.09677419
2025,5,73.4516129
2025,6,74.69289006
2025,7,74.57142857
2025,8,74.07142857
2025,9,73.57142857
2025,10,73.08821593
2025,11,72.80645161
2025,12,72.58064516
2025,13,72.35483871
2025,14,72.12903226
2025,15,72.2
2025,16,72.66666667
2025,17,73.13333333
2025,18,73.6
2025,19,74.01751152
2025,20,74.25806452
2025,21,74.48387097
2025,22,74.70967742
2025,23,74.96420891
2025,24,76.16666667
2025,25,77.8
2025,26,79.43333333
2025,27,81.06666667
2025,28,81.41935484
2025,29,80.06451613
2025,30,78.70967742
2025,31,77.35483871
2025,32,76.22119816
2025,33,76.4516129
2025,34,76.90322581
2025,35,77.35483871
2025,36,77.80645161
2025,37,77.33333333
2025,38,76.16666667
2025,39,75.0
2025,40,73.83333333
2025,41,72.81643625
2025,42,75.90178571
2025,43,75.7766057
2025,44,75.57932658
2025,45,75.30093595
2025,46,75.04688627
2025,47,74.90691372
2025,48,74.89527794
2025,49,75.02802102
2025,50,75.30446911
2025,51,75.22980454
2025,52,74.70238095238096
2025,53,75.10922037
2026,1,70.43452380952381
2026,2,61.13095238095239
2026,3,62.476190476190474
